"Input";"Wdth";"hight";"Timestamp";"Number";"Date";"Key"
Kamera 1; videowdth 1280; videohight 960; 1508923372.9; Nummer 167; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.98; Nummer 168; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.07; Nummer 169; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.15; Nummer 170; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.24; Nummer 171; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.32; Nummer 172; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.41; Nummer 173; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.5; Nummer 174; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.59; Nummer 175; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.67; Nummer 176; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.76; Nummer 177; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.84; Nummer 178; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923373.93; Nummer 179; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.02; Nummer 180; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.11; Nummer 181; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.19; Nummer 182; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.28; Nummer 183; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.36; Nummer 184; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.45; Nummer 185; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.54; Nummer 186; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.63; Nummer 187; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.71; Nummer 188; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.8; Nummer 189; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.88; Nummer 190; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923374.97; Nummer 191; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.05; Nummer 192; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.14; Nummer 193; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.22; Nummer 194; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.3; Nummer 195; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.39; Nummer 196; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.47; Nummer 197; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.56; Nummer 198; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.64; Nummer 199; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.73; Nummer 200; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.81; Nummer 201; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.9; Nummer 202; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923375.98; Nummer 203; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.07; Nummer 204; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.15; Nummer 205; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.24; Nummer 206; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.33; Nummer 207; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.41; Nummer 208; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.5; Nummer 209; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.58; Nummer 210; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.66; Nummer 211; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.75; Nummer 212; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.84; Nummer 213; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923376.92; Nummer 214; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.01; Nummer 215; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.09; Nummer 216; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.17; Nummer 217; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.26; Nummer 218; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.34; Nummer 219; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.43; Nummer 220; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.51; Nummer 221; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.6; Nummer 222; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.69; Nummer 223; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.77; Nummer 224; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.85; Nummer 225; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923377.94; Nummer 226; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.02; Nummer 227; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.1; Nummer 228; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.19; Nummer 229; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.27; Nummer 230; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.35; Nummer 231; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.44; Nummer 232; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.52; Nummer 233; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.6; Nummer 234; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.69; Nummer 235; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.77; Nummer 236; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.85; Nummer 237; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923378.93; Nummer 238; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.01; Nummer 239; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.11; Nummer 240; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.19; Nummer 241; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.28; Nummer 242; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.36; Nummer 243; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.45; Nummer 244; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.53; Nummer 245; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.61; Nummer 246; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.69; Nummer 247; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.78; Nummer 248; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.86; Nummer 249; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923379.95; Nummer 250; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.03; Nummer 251; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.11; Nummer 252; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.19; Nummer 253; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.27; Nummer 254; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.35; Nummer 255; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.44; Nummer 256; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.52; Nummer 257; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.6; Nummer 258; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.68; Nummer 259; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.77; Nummer 260; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.85; Nummer 261; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923380.93; Nummer 262; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.01; Nummer 263; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.1; Nummer 264; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.18; Nummer 265; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.25; Nummer 266; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.33; Nummer 267; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.41; Nummer 268; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.49; Nummer 269; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.57; Nummer 270; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923381.65; Nummer 271; ;objekt
